,Adj Close,Close,High,Low,Open,Volume,SMA5,SMA50,SMA200,MACDLine,MACDSignal,MACDHist,RSI14,BBupper,BBlower,ROC12,PPO,MOM5,StochK,StochD,WillR,AccDist,PlusDI14,TR,SlowStochD,ChaikinOsc,ADX14,ATR14,^GSPC,^IXIC,^DJI,^VIX,CL=F,GC=F,SI=F,^TNX,DX-Y.NYB,FedFundsRate,y
2015-01-02,2058.199951171875,2058.199951171875,2072.360107421875,2046.0400390625,2058.89990234375,2708700000,2075.3580078125,2037.6623999023439,1958.6549481201173,10.543870368676835,10.059126086026632,0.48474428265020286,51.67748157675229,2122.234049164226,1983.5399376521802,3.4463667174692216,0.1072733071898419,-23.679931640625,70.78262624224386,77.07793976693739,-29.217373757756143,306618227138.47437,23.27837360038421,26.320068359375,56.22136563761251,-1380012624.2556152,31.399122032736773,23.565726143973215,2058.199951171875,4726.81005859375,17832.990234375,17.790000915527344,52.689998626708984,1186.0,15.734000205993652,2.122999906539917,91.08000183105469,0.12,2020.5799560546875
2015-01-05,2020.5799560546875,2020.5799560546875,2054.43994140625,2017.3399658203125,2054.43994140625,3799120000,2061.7199951171874,2039.5317993164062,1959.3977978515625,6.2675852551710705,9.30081791985552,-3.0332326646844496,41.449035950625635,2120.496494207403,1980.1434960269717,2.4250517583226356,-0.26301600768568034,-68.1900634765625,39.68914896837008,60.61097378466091,-60.31085103162992,303482671548.1439,22.73669678850925,40.8599853515625,58.66436617315552,-2422377469.4923096,27.590549247489417,24.127153669084823,2020.5799560546875,4652.56982421875,17501.650390625,19.920000076293945,50.040000915527344,1203.9000244140625,16.179000854492188,2.0390000343322754,91.37999725341797,0.12,2002.6099853515625
2015-01-06,2002.6099853515625,2002.6099853515625,2030.25,1992.43994140625,2022.1500244140625,4460110000,2044.127978515625,2040.5676000976562,1960.0782476806642,1.4122920160766625,7.723112739099749,-6.310820723023086,37.618791777492646,2118.904676961578,1974.4593000892035,-0.51070993556846,-0.584449229171817,-87.9600830078125,24.83670483781466,45.10282668280953,-75.16329516218534,301421897406.79956,22.644175552772978,37.81005859375,60.21289895496076,-3284284181.199402,23.573714158280996,24.225734165736608,2002.6099853515625,4592.740234375,17371.640625,21.1200008392334,47.93000030517578,1219.300048828125,16.60300064086914,1.9630000591278076,91.5,0.12,2025.9000244140625
2015-01-07,2025.9000244140625,2025.9000244140625,2029.6099853515625,2005.550048828125,2005.550048828125,3805480000,2033.2379638671875,2041.7940014648439,1960.9205480957032,-0.5499123003487512,6.068507731210049,-6.6184200315588,44.74547431217792,2117.456158358439,1972.4668152743732,-1.7140230051696133,-0.5523991525824448,-54.4500732421875,43.521449434286076,36.01576774682359,-56.478550565713924,304053793084.60614,23.863521711523976,27.0,60.379295537197116,-2500889740.213928,18.700837697908714,22.987880161830358,2025.9000244140625,4650.47021484375,17584.51953125,19.309999465942383,48.650001525878906,1210.5999755859375,16.510000228881836,1.9539999961853027,91.88999938964844,0.12,2062.139892578125
2015-01-08,2062.139892578125,2062.139892578125,2064.080078125,2030.6099853515625,2030.6099853515625,3934010000,2033.8859619140626,2043.80419921875,1961.903147583008,0.8099445964551251,5.016795104259065,-4.2068505078039395,53.623779315070045,2117.6795930599897,1972.4753629946977,-0.4109825497778546,-0.23177681060065994,3.239990234375,68.93470192950812,45.764285400536274,-31.065298070491878,307531711767.8041,35.21202932001893,38.1800537109375,60.064776048210774,-846446093.3192139,13.761783341891276,22.571454729352677,2062.139892578125,4736.18994140625,17907.869140625,17.010000228881836,48.790000915527344,1208.4000244140625,16.35099983215332,2.0160000324249268,92.37000274658203,0.12,2044.81005859375
2015-01-09,2044.81005859375,2044.81005859375,2064.429931640625,2038.3299560546875,2063.449951171875,3364140000,2031.2079833984376,2044.9993994140625,1962.8643975830078,0.4836925072033864,4.11017458484793,-3.6264820776445434,49.52565690426679,2118.0659069726253,1973.9560534765933,-1.6227727075184704,-0.17163615621673445,-13.389892578125,51.79513554365962,54.750428969151265,-48.20486445634038,305838069281.0284,22.855367891343597,26.0999755859375,58.677423246528164,-631564838.7164307,12.346400304778962,20.982883998325892,2044.81005859375,4704.06982421875,17737.369140625,17.549999237060547,48.36000061035156,1216.0,16.38599967956543,1.9709999561309814,91.94000244140625,0.12,2028.260009765625
2015-01-12,2028.260009765625,2028.260009765625,2049.300048828125,2022.5799560546875,2046.1300048828125,3456460000,2032.743994140625,2045.9185986328125,1963.7604974365233,-1.0976620847068261,3.068607250936979,-4.166269335643805,45.91665346459674,2118.0018315331936,1973.3131342871186,-2.5891216438679976,-0.25133417440224837,7.6800537109375,35.4267929020372,52.05221012506831,-64.57320709796281,303851131008.829,16.636972550898744,26.7200927734375,56.23632758913227,-1118451517.6499634,13.677039366966023,21.690028599330358,2028.260009765625,4664.7099609375,17640.83984375,19.600000381469727,46.06999969482422,1232.699951171875,16.53499984741211,1.9119999408721924,91.9800033569336,0.12,2023.030029296875
2015-01-13,2023.030029296875,2023.030029296875,2056.929931640625,2008.25,2031.5799560546875,4107300000,2036.8280029296875,2046.4861987304687,1964.5875476074218,-2.7413125620901155,1.90662328833156,-4.647935850421676,44.80550048528928,2116.990199518568,1976.3947736259636,-2.8267650790746983,-0.3187766822079211,20.4200439453125,30.254233400217796,39.158720615304865,-69.7457665997822,302237918912.617,14.469443645343489,48.679931640625,52.33767604713938,-1729249778.9492798,15.335030506449034,24.490025111607142,2023.030029296875,4661.5,17613.6796875,20.559999465942383,45.88999938964844,1234.300048828125,17.125,1.8899999856948853,92.30999755859375,0.12,2011.27001953125
2015-01-14,2011.27001953125,2011.27001953125,2018.4000244140625,1988.43994140625,2018.4000244140625,4378680000,2033.902001953125,2046.3505981445312,1965.2821978759766,-4.935953315564348,0.5381079675523786,-5.474061283116726,42.325250460676116,2114.971933933882,1980.5770406754925,-3.710317520613979,-0.42442824663486123,-14.6300048828125,21.720154878510492,29.13372706025515,-78.27984512148952,304532491884.46674,11.27659602602594,34.590087890625,48.71655143381345,-1091825869.4423218,17.893411913657385,26.375749860491073,2011.27001953125,4639.31982421875,17427.08984375,21.479999542236328,48.47999954223633,1234.4000244140625,16.95599937438965,1.8370000123977661,92.16000366210938,0.12,1992.6700439453125
2015-01-15,1992.6700439453125,1992.6700439453125,2021.3499755859375,1991.469970703125,2013.75,4276720000,2020.0080322265626,2045.8477978515625,1965.817947998047,-8.082909755306218,-1.1860955770193409,-6.896814178286878,38.678368921846214,2111.741448451413,1985.800531529056,-4.682934377363008,-0.5966423809082205,-69.4698486328125,4.0244488782457015,18.666279052324654,-95.9755511217543,300599304441.202,11.122363340484911,29.8800048828125,45.09926326785066,-1983273377.5516357,20.509084440644166,28.102896554129465,1992.6700439453125,4570.81982421875,17320.7109375,22.389999389648438,46.25,1264.699951171875,17.072999954223633,1.774999976158142,92.3499984741211,0.12,2019.4200439453125
